url,title,author,view,recommend,tag,synopsis,count,img
https://novelpia.com/novel/363336,생존 방송인데 시청자들이 집착한다,비타민,"502,722","29,848","#판타지
#무협
#생존
#커뮤니티
#갤러리
#천재
#집착
#인터넷방송
#치트
#게임빙의","미발매 게임에 납치됐다.
살기 위해 방송을 켰더니, 시청자들이 집착한다.",66,https://images.novelpia.com/imagebox/cover/f2d81b5c35397d8e557a788055e65f2a_100756_ori.file
https://novelpia.com/novel/347618,[TS] 귀환한 짐꾼의 요리 방송,굉장히엄청난,"806,842","40,813","#현대
#판타지
#인터넷방송
#TS
#귀환
#가상현실
#게임
#초반약피폐","마왕을 잡고 그 대가로 현대로 귀환했다.

칼을 잡을 수 없으니 식칼을 잡겠다.",128,https://images.novelpia.com/imagebox/cover/c91f61abd424ab172034d8a4ab62dc0a_359671_ori.file
https://novelpia.com/novel/156911,마나 살 돈 없어서 인방함,시엘클레,"16,489,911","1,509,446","#현대판타지
#일상
#TS
#인터넷방송
#먼치킨
#노맨스
#유년기
#가상현실게임
#초반약피폐
#나데나데","영문 모를 판타지 세계로 전생했지만, 마왕으로 몰린 나는 끝끝내 두 번째 죽음을 맞이했다.

그리고 새로 태어난 이번 세상에선 마법을 쓰려면 세금을 내라한다.


[한국마력공사에서 ⬛⬛⬛님께 청구서를 발송하였습니다. 결제기한 내 납부 부탁드립니다.

⦁ 청구목적: 무허가 긴급 하위서클(3) 마법 작성
⦁ 청구금액: 481,738원
⦁ 결제기한: 2051/01/31

청구 내역에 대한 문의는 청구업체로 연락바랍니다.]



1부(0~31) - '레거시 오브 레전드' (完)
2부(32~200) - '월드 오브 아르세리아' (完)
3부(201~427) - '세피론 아카데미 & 한국대학교' (完)
4부(428~771) - '레저넌스 & 국가교류전' (完)
5부(772~ ) - '발푸르기스'","1,007",https://images.novelpia.com/imagebox/cover/21d51ff1b6c5cd356073c85c08ae98df_454292_ori.file
https://novelpia.com/novel/338178,분명 2인자입니다만?,소독성애자,"2,666,451","228,227","#판타지
#하렘
#먼치킨
#착각
#선협향첨가","남자로 태어난 이상 누구나 한 번쯤 동경하는 최종 보스를 목표로 하였다.

하지만 내가 전생한 곳은 착각물 주인공이 있는 세계관이라는 걸 깨달았을 때, 이 세상은 더 이상 나만의 놀이터가 아니게 되었다.

“이길 수 없으면 합류하라.”

그래서 2인자를 노렸다.

주인공의 곁에서 팔짱 끼고 폼만 잡는 절대적인 2인자를.",180,https://images.novelpia.com/imagebox/cover/6bdfb057a2a7770e842b61064c3b0c62_278487_ori.file
https://novelpia.com/novel/367809,최종 보스를 이상하게 키워버렸다,매운맛젤리,"105,441","5,969","#판타지
#로맨스
#현대판타지
#아카데미
#착각
#집착
#소꿉친구
#얀데레
#코미디","집안 대대로 내려오는 능력으로,
엘리어드 대공의 장녀, ‘루에나 엘리어드’의 미래를 엿보았다.

호기심에 그녀의 소꿉친구가 되었고,
아카데미에 입학한 지금 내가 본 미래가 실현되기 시작했다.

그런데….

“아, 셀렌이다! …후냐아아앙?!”

최종 보스라고?

“아으, 또 넘어졌어….”

……얘가?",18,https://images.novelpia.com/imagebox/cover/38897ec8855e92ea0d0afc7796ec55b0_276253_ori.file
https://novelpia.com/novel/327879,히로인에게 회귀를 빼앗겼다,수입참치,"3,619,362","227,586","#현대판타지
#하렘
#집착
#후회
#아카데미
#성장형먼치킨
#빙의","10년동안 회귀 하나만 바라보고 달려왔다.

[권능: 사망회귀(死亡回歸)가 자연스럽게 소멸하였습니다. :)]

어?",187,https://images.novelpia.com/imagebox/cover/0129529f6eccf476c3887e1612a5ec6d_358981_ori.file
https://novelpia.com/novel/371510,불로불사로 태어나버림,헵번,"183,997","9,473","#판타지
#전생
#신화
#드래곤
#먼치킨
#마법
#검
#환생
#이세계
#순애","삶은 너무 짧습니다.
그렇게 소원을 빈 남자는 다시 태어났다. 불로불사로.
한데 이세계에서 말이다.
이것은 축복입니까? 저주입니까?",28,https://images.novelpia.com/imagebox/cover/9d78ed67601c961e58c89ffd73b5cb42_502191_ori.file
https://novelpia.com/novel/347751,아카데미 천재 공학자가 되었다,카타자루,"916,774","76,623","#판타지
#중세
#공학
#TS
#아카데미
#환생",마법만능주의 한복판에서 공학을 외치다.,111,https://images.novelpia.com/imagebox/cover/d4a29744958980400a7fcccf4fa093c3_370084_ori.file
https://novelpia.com/novel/351085,우결 컨텐츠였는데 상대가 진심이다,청월헌,"846,018","47,887","#로맨스
#현대
#순애
#인터넷방송",단순한 방송 컨텐츠였는데 상대가 진심이 되어버렸다.,86,https://images.novelpia.com/imagebox/cover/6cd9fc357b0c11ab9fd68636e38772ae_442215_ori.file
https://novelpia.com/novel/363453,7조원을 상속 받았습니다,판타님,"246,695","7,397","#현대판타지
#하렘
#돈지랄
#큰손
#인터넷방송
#경영한스푼
#부동산
#별풍선","아버지와 의절했던 할아버지가 미국의 재벌이었나 보다.

[입금 알림]
입금액 : 7,034,102,593,910
잔액 : 7,034,807,643,120

어느 날 그 할아버지 재산이 나한테 왔다.",61,https://images.novelpia.com/imagebox/cover/9a93afd86995c95e69d18ecc2fe4e69f_327820_ori.file
